community,item_eco_category,mean_perc_yes,n_items
1,All Green Items,0.9782436032436033,74
1,Cleaner Energy,0.9209401709401709,6
1,Decrease Emissions from Buildings,0.9754329004329004,10
1,Electric Vehicles,1,2
1,Expand the Cycling Network and Make It Safe,0.9920634920634921,9
1,Flood Prevention,1,1
1,Food Security,1,5
1,Grow Public Transit,0.9465685829322193,11
1,Housing for All,1,15
1,Indigenous Relations,1,2
1,More Nature,1,1
1,Net Zero,0.9615384615384616,6
1,Other Action,1,5
1,Reduce Plastic,1,1
2,All Green Items,0.8280980655980656,74
2,Cleaner Energy,0.8116161616161616,6
2,Decrease Emissions from Buildings,0.6897113997113997,10
2,Electric Vehicles,0.8875,2
2,Expand the Cycling Network and Make It Safe,0.850925925925926,9
2,Flood Prevention,1,1
2,Food Security,0.9066666666666667,5
2,Grow Public Transit,0.8309064672701036,11
2,Housing for All,0.8461014911014911,15
2,Indigenous Relations,0.9375,2
2,More Nature,1,1
2,Net Zero,0.8217592592592593,6
2,Other Action,0.7817460317460317,5
2,Reduce Plastic,1,1
